編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2007-03-13 07:31:28,121.46,23.92,2.8,19.2,2,花蓮西林地震站北偏東方  12.1  公里(花蓮西林地震站北偏東方  12.1  公里)
小區域有感地震,2007-03-13 04:57:38,121.42,23.82,3.4,26.3,3,花蓮西林地震站西偏北方  2.6  公里(花蓮西林地震站西偏北方  2.6  公里)
017   ,2007-03-12 21:35:51,121.75,24.15,4.5,9,4,花蓮秀林地震站東偏北方  16.6  公里(花蓮秀林地震站東偏北方  16.6  公里)
016   ,2007-03-08 23:37:36,121.91,24.54,4.7,70.4,3,宜蘭蘇澳地震站東南方  8.8  公里(宜蘭蘇澳地震站東南方  8.8  公里)
015   ,2007-03-08 06:57:17,122.43,24.03,5,20.2,2,宜蘭南澳地震站東偏南方  81.8  公里(宜蘭南澳地震站東偏南方  81.8  公里)
小區域有感地震,2007-03-08 04:54:32,121.94,24.46,3.3,13.4,3,宜蘭蘇澳地震站南偏東方  18.6  公里(宜蘭蘇澳地震站南偏東方  18.6  公里)
小區域有感地震,2007-03-07 23:32:17,120.38,23.5,3,9.6,2,嘉義市地震站西方  5.1  公里(嘉義市地震站西方  5.1  公里)
小區域有感地震,2007-03-07 10:39:42,120.45,23.51,2.5,10.1,2,嘉義市地震站東北方  2.6  公里(嘉義市地震站東北方  2.6  公里)
小區域有感地震,2007-03-06 21:44:22,121.83,24.45,2.9,14.3,4,宜蘭南澳地震站東偏北方  8.6  公里(宜蘭南澳地震站東偏北方  8.6  公里)
小區域有感地震,2007-03-06 05:38:17,121.47,23.95,2.7,18.9,1,花蓮市地震站西方  14.4  公里(花蓮市地震站西方  14.4  公里)
小區域有感地震,2007-03-06 00:43:38,121.85,24.19,4.3,6.3,3,宜蘭南澳地震站南偏東方  27.9  公里(宜蘭南澳地震站南偏東方  27.9  公里)
小區域有感地震,2007-03-06 00:13:43,121.88,24.18,4.3,5.8,2,宜蘭南澳地震站南偏東方  29.9  公里(宜蘭南澳地震站南偏東方  29.9  公里)
小區域有感地震,2007-03-05 22:34:39,121.87,24.2,4.3,6.1,2,宜蘭南澳地震站南偏東方  28.0  公里(宜蘭南澳地震站南偏東方  28.0  公里)
小區域有感地震,2007-03-05 10:57:06,121.36,22.66,3.8,32.8,2,台東市地震站東偏南方  23.8  公里(台東市地震站東偏南方  23.8  公里)
小區域有感地震,2007-03-05 05:26:00,121.37,22.95,3.6,33,2,台東成功地震站南方  16.2  公里(台東成功地震站南方  16.2  公里)
小區域有感地震,2007-03-04 11:45:28,122,24.77,4.4,77.9,3,宜蘭蘇澳地震站東北方  22.6  公里(宜蘭蘇澳地震站東北方  22.6  公里)
小區域有感地震,2007-03-02 16:33:40,122.06,24.43,3.3,19.1,2,宜蘭蘇澳地震站東南方  28.1  公里(宜蘭蘇澳地震站東南方  28.1  公里)
小區域有感地震,2007-03-01 02:28:10,121.66,21.96,4.4,14.8,4,台東蘭嶼地震站東南方  13.9  公里(台東蘭嶼地震站東南方  13.9  公里)
小區域有感地震,2007-02-28 16:03:19,121.95,24.31,3.7,60.7,2,宜蘭南澳地震站東偏南方  24.3  公里(宜蘭南澳地震站東偏南方  24.3  公里)
014   ,2007-02-28 03:57:10,121.72,24.03,4.4,31.8,3,花蓮市地震站東偏北方  12.4  公里(花蓮市地震站東偏北方  12.4  公里)
小區域有感地震,2007-02-27 20:23:26,121.83,24.66,3,8,3,宜蘭蘇澳地震站北偏西方  6.8  公里(宜蘭蘇澳地震站北偏西方  6.8  公里)
小區域有感地震,2007-02-27 05:07:40,121.63,24.51,3.9,43.8,2,宜蘭南澳地震站西北方  15.0  公里(宜蘭南澳地震站西北方  15.0  公里)
小區域有感地震,2007-02-25 18:28:00,121.94,24.48,3,13.9,3,宜蘭蘇澳地震站南偏東方  16.3  公里(宜蘭蘇澳地震站南偏東方  16.3  公里)
小區域有感地震,2007-02-23 05:29:19,121.8,24.12,4.2,9.7,2,花蓮秀林地震站東方  20.6  公里(花蓮秀林地震站東方  20.6  公里)
013   ,2007-02-23 05:00:17,121.82,24.12,4.5,10.8,2,花蓮秀林地震站東方  21.7  公里(花蓮秀林地震站東方  21.7  公里)
小區域有感地震,2007-02-22 18:41:50,120.78,24.19,3.5,24.2,1,台中市地震站東偏北方  11.0  公里(台中市地震站東偏北方  11.0  公里)
小區域有感地震,2007-02-22 14:46:54,121.4,23.69,4.4,9.8,4,花蓮西林地震站南偏西方  14.1  公里(花蓮西林地震站南偏西方  14.1  公里)
小區域有感地震,2007-02-21 19:08:12,121.43,23.76,3.2,22,3,花蓮西林地震站南偏西方  5.7  公里(花蓮西林地震站南偏西方  5.7  公里)
小區域有感地震,2007-02-19 06:10:35,121.57,24.12,3,19.8,3,花蓮秀林地震站西北方  6.1  公里(花蓮秀林地震站西北方  6.1  公里)
小區域有感地震,2007-02-19 05:38:59,121.46,23.94,3,20.1,3,花蓮西林地震站北方  14.5  公里(花蓮西林地震站北方  14.5  公里)
小區域有感地震,2007-02-19 05:04:59,120.4,21.79,5.1,44.3,2,屏東恆春地震站西偏南  42.6  公里(屏東恆春地震站西偏南  42.6  公里)
小區域有感地震,2007-02-18 23:46:08,122.08,24.44,4.1,17.5,3,宜蘭蘇澳地震站東南方  29.2  公里(宜蘭蘇澳地震站東南方  29.2  公里)
小區域有感地震,2007-02-18 04:34:51,121.7,24.2,3.1,11.6,3,花蓮秀林地震站東北方  16.4  公里(花蓮秀林地震站東北方  16.4  公里)
小區域有感地震,2007-02-18 01:12:21,121.7,24.2,3.3,10.6,3,花蓮秀林地震站東北方  16.7  公里(花蓮秀林地震站東北方  16.7  公里)
012   ,2007-02-16 15:03:47,121.69,24.14,3.3,9.5,4,花蓮秀林地震站東北方  11.1  公里(花蓮秀林地震站東北方  11.1  公里)
小區域有感地震,2007-02-16 01:12:39,121.68,24.14,3,9.6,3,花蓮秀林地震站東北方  9.6  公里(花蓮秀林地震站東北方  9.6  公里)
小區域有感地震,2007-02-15 22:35:27,121.32,23.45,3.7,12.5,3,花蓮玉里地震站北方  11.4  公里(花蓮玉里地震站北方  11.4  公里)
小區域有感地震,2007-02-15 07:50:41,121.78,24.11,4,8.6,2,花蓮秀林地震站東方  18.1  公里(花蓮秀林地震站東方  18.1  公里)
011   ,2007-02-14 11:30:31,120.83,22.24,4.8,10,3,台東大武地震站南偏西方  15.1  公里(台東大武地震站南偏西方  15.1  公里)
010   ,2007-02-14 11:26:17,120.84,22.23,4.7,13.3,3,台東大武地震站南偏西方  15.1  公里(台東大武地震站南偏西方  15.1  公里)
小區域有感地震,2007-02-14 04:33:55,120.57,23.7,3.2,19.1,3,斗六市地震站東偏南方  3.7  公里(斗六市地震站東偏南方  3.7  公里)
小區域有感地震,2007-02-13 12:10:11,121.79,24.41,2.5,7.3,4,宜蘭南澳地震站東偏南方  4.1  公里(宜蘭南澳地震站東偏南方  4.1  公里)
小區域有感地震,2007-02-13 07:48:00,120.42,23.33,3.5,13.1,3,台南東山地震站西北方  11.1  公里(台南東山地震站西北方  11.1  公里)
小區域有感地震,2007-02-12 16:43:35,121.86,24.39,3,12.6,3,宜蘭南澳地震站東偏南方  12.1  公里(宜蘭南澳地震站東偏南方  12.1  公里)
009   ,2007-02-12 13:40:26,121.87,24.39,4.1,12,4,宜蘭南澳地震站東偏南方  12.9  公里(宜蘭南澳地震站東偏南方  12.9  公里)
小區域有感地震,2007-02-10 19:36:55,121.02,24.69,3.1,10,2,新竹竹北地震站南方  15.1  公里(新竹竹北地震站南方  15.1  公里)
小區域有感地震,2007-02-10 09:15:46,121.58,23.79,2.8,7.4,2,花蓮西林地震站東方  14.7  公里(花蓮西林地震站東方  14.7  公里)
小區域有感地震,2007-02-10 07:51:20,121.58,23.79,3.3,7.9,3,花蓮西林地震站東方  14.6  公里(花蓮西林地震站東方  14.6  公里)
小區域有感地震,2007-02-09 09:39:19,121.8,24.42,3.1,12.7,4,宜蘭南澳地震站東方  5.1  公里(宜蘭南澳地震站東方  5.1  公里)
小區域有感地震,2007-02-07 19:44:51,121.73,24.46,2.5,5.7,3,宜蘭南澳地震站北偏西方  3.8  公里(宜蘭南澳地震站北偏西方  3.8  公里)
小區域有感地震,2007-02-07 19:39:24,120.44,22.39,3.5,33.9,1,屏東枋寮地震站西方  19.8  公里(屏東枋寮地震站西方  19.8  公里)
小區域有感地震,2007-02-07 05:34:06,121.39,23.17,3.6,20.6,2,台東成功地震站北偏東方  8.7  公里(台東成功地震站北偏東方  8.7  公里)
小區域有感地震,2007-02-06 18:06:40,121.67,23.03,3.8,18.3,2,台東成功地震站東偏南方  30.9  公里(台東成功地震站東偏南方  30.9  公里)
小區域有感地震,2007-02-06 07:08:36,121.76,24.4,3.2,19.9,4,宜蘭南澳地震站南偏東方  3.4  公里(宜蘭南澳地震站南偏東方  3.4  公里)
008   ,2007-02-05 17:17:46,122.16,24.11,4.3,42.6,3,宜蘭南澳地震站東南方  55.2  公里(宜蘭南澳地震站東南方  55.2  公里)
小區域有感地震,2007-02-05 07:10:39,121.67,24.48,3.5,26.9,3,宜蘭南澳地震站西北方  10.4  公里(宜蘭南澳地震站西北方  10.4  公里)
小區域有感地震,2007-02-05 07:10:07,121.68,24.47,3.8,27.8,3,宜蘭南澳地震站西北方  8.2  公里(宜蘭南澳地震站西北方  8.2  公里)
小區域有感地震,2007-02-04 01:35:18,121.68,21.92,4.7,14.7,4,台東蘭嶼地震站東南方  17.9  公里(台東蘭嶼地震站東南方  17.9  公里)
小區域有感地震,2007-02-03 00:15:49,121.67,23.91,3.5,39.7,1,花蓮市地震站東南方  9.2  公里(花蓮市地震站東南方  9.2  公里)
小區域有感地震,2007-02-02 16:54:45,121.74,24.46,3.1,8.3,3,宜蘭南澳地震站北偏西方  4.4  公里(宜蘭南澳地震站北偏西方  4.4  公里)
小區域有感地震,2007-02-02 12:58:08,121.33,22.82,3.9,17.3,2,台東市地震站東偏北方  19.6  公里(台東市地震站東偏北方  19.6  公里)
007   ,2007-02-01 11:47:31,120.42,23.33,3.6,12.5,3,台南東山地震站西北方  11.1  公里(台南東山地震站西北方  11.1  公里)
小區域有感地震,2007-02-01 00:47:39,119.91,21.78,4.9,63.4,2,屏東恆春地震站西偏南  89.5  公里(屏東恆春地震站西偏南  89.5  公里)
小區域有感地震,2007-02-01 00:40:59,121.29,22.84,4,15.9,2,台東市地震站東偏北方  17.1  公里(台東市地震站東偏北方  17.1  公里)
006   ,2007-01-31 10:16:58,120.43,23.33,3.7,12.5,3,台南東山地震站西北方  11.0  公里(台南東山地震站西北方  11.0  公里)
小區域有感地震,2007-01-28 02:52:42,120.64,23.59,2.9,5.2,3,斗六市地震站東南方  16.8  公里(斗六市地震站東南方  16.8  公里)
小區域有感地震,2007-01-27 23:19:59,120.55,23.52,2.7,10.9,2,嘉義市地震站東方  11.8  公里(嘉義市地震站東方  11.8  公里)
005   ,2007-01-25 18:59:15,122.03,22.63,6.2,25.8,4,台東蘭嶼地震站東北方  81.6  公里(台東蘭嶼地震站東北方  81.6  公里)
小區域有感地震,2007-01-24 05:23:26,120.2,23.21,3.1,11.1,3,台南佳里地震站北方  4.4  公里(台南佳里地震站北方  4.4  公里)
小區域有感地震,2007-01-23 01:02:22,121.01,24.38,3.6,10,2,台中德基地震站西北方  21.2  公里(台中德基地震站西北方  21.2  公里)
004   ,2007-01-20 19:48:12,120.2,23.21,4.1,10.6,4,台南佳里地震站北方  4.5  公里(台南佳里地震站北方  4.5  公里)
小區域有感地震,2007-01-19 19:15:09,121.63,23.97,3.8,25.3,2,花蓮市地震站東方  1.6  公里(花蓮市地震站東方  1.6  公里)
